Id,SalePrice
1461,123542.94
1462,158220.8
1463,178847.5
1464,191754.12
1465,179696.98
1466,171218.62
1467,169645.55
1468,165183.98
1469,174737.58
1470,123624.34
1471,204055.7
1472,90893.22
1473,103903.875
1474,166684.2
1475,143372.48
1476,440831.12
1477,269591.53
1478,293217.34
1479,185379.84
1480,522888.5
1481,296727.56
1482,207931.52
1483,160638.56
1484,175300.27
1485,183455.05
1486,193197.12
1487,341898.3
1488,250275.69
1489,213423.33
1490,199949.69
1491,185996.58
1492,89376.805
1493,189217.44
1494,289861.5
1495,300351.97
1496,220347.95
1497,194663.78
1498,152340.17
1499,155296.1
1500,148434.14
1501,171895.67
1502,162285.25
1503,260290.5
1504,242829.39
1505,206115.55
1506,182226.53
1507,247817.88
1508,199485.42
1509,168636.95
1510,148041.56
1511,151855.53
1512,184342.67
1513,170881.05
1514,159140.31
1515,151414.8
1516,176585.83
1517,166637.28
1518,146315.52
1519,231517.38
1520,127534.71
1521,132235.11
1522,159411.45
1523,109045.39
1524,116948.95
1525,124723.63
1526,124104.29
1527,109880.88
1528,130650.68
1529,146347.27
1530,178311.34
1531,116336.945
1532,86836.86
1533,143018.03
1534,127304.01
1535,148860.89
1536,111558.805
1537,57288.79
1538,181455.08
1539,219246.4
1540,129219.53
1541,119372.695
1542,136001.97
1543,223536.45
1544,92067.04
1545,105785.64
1546,120636.6
1547,143869.94
1548,130795.86
1549,122728.9
1550,131569.97
1551,115554.93
1552,119333.99
1553,141785.86
1554,109175.66
1555,176993.05
1556,76887.55
1557,111502.98
1558,80547.36
1559,137619.19
1560,129530.62
1561,146584.08
1562,128627.555
1563,116728.586
1564,130005.04
1565,149162.44
1566,250312.78
1567,85093.66
1568,238340.72
1569,152010.2
1570,119479.89
1571,125247.11
1572,148839.9
1573,221256.98
1574,91375.71
1575,217976.94
1576,218786.28
1577,196729.14
1578,161418.3
1579,148418.66
1580,187442.75
1581,145557.69
1582,127294.94
1583,319640.88
1584,245090.34
1585,141526.83
1586,89194.234
1587,106523.25
1588,143600.4
1589,93775.16
1590,141917.34
1591,104192.88
1592,125528.086
1593,130498.414
1594,159878.72
1595,93828.73
1596,243499.36
1597,183192.58
1598,210662.7
1599,202158.95
1600,174537.83
1601,65174.37
1602,109556.19
1603,89137.87
1604,216946.0
1605,239376.22
1606,177536.14
1607,194061.86
1608,219365.56
1609,209399.45
1610,169836.6
1611,141250.3
1612,152092.12
1613,146642.3
1614,123477.45
1615,82691.71
1616,78829.23
1617,84516.195
1618,127505.63
1619,137600.73
1620,167105.61
1621,129370.07
1622,142376.94
1623,269438.7
1624,203526.47
1625,119779.46
1626,166080.14
1627,174350.22
1628,273592.38
1629,173974.17
1630,351501.78
1631,223446.23
1632,246595.08
1633,172391.17
1634,175924.67
1635,179909.58
1636,163279.7
1637,176179.31
1638,215773.33
1639,170769.19
1640,257844.73
1641,167164.19
1642,220778.66
1643,233212.64
1644,221840.5
1645,167320.8
1646,164752.55
1647,167232.83
1648,142753.25
1649,138843.22
1650,112351.45
1651,116268.016
1652,94634.61
1653,105079.79
1654,151929.34
1655,159436.72
1656,147427.03
1657,152925.69
1658,144257.11
1659,154927.89
1660,151605.58
1661,496438.5
1662,373860.53
1663,368324.6
1664,455166.84
1665,316171.44
1666,282808.56
1667,357004.25
1668,345478.75
1669,314674.97
1670,350066.7
1671,230635.62
1672,543321.7
